Code,variable,Gender,Year,value
E06000047,0,M,2016,2770
E06000005,0,M,2016,619
E06000001,0,M,2016,576
E06000002,0,M,2016,986
E06000057,0,M,2016,1472
E06000003,0,M,2016,727
E06000004,0,M,2016,1172
E08000037,0,M,2016,1165
E08000021,0,M,2016,1753
E08000022,0,M,2016,1150
E08000023,0,M,2016,898
E08000024,0,M,2016,1527
E06000008,0,M,2016,1116
E06000009,0,M,2016,880
E06000049,0,M,2016,2066
E06000050,0,M,2016,1825
E06000006,0,M,2016,766
E06000007,0,M,2016,1252
E07000026,0,M,2016,460
E07000027,0,M,2016,385
E07000028,0,M,2016,634
E07000029,0,M,2016,337
E07000030,0,M,2016,205
E07000031,0,M,2016,434
E08000001,0,M,2016,1932
E08000002,0,M,2016,1258
E08000003,0,M,2016,4129
E08000004,0,M,2016,1676
E08000005,0,M,2016,1537
E08000006,0,M,2016,1845
E08000007,0,M,2016,1728
E08000008,0,M,2016,1472
E08000009,0,M,2016,1449
E08000010,0,M,2016,1884
E07000117,0,M,2016,604
E07000118,0,M,2016,654
E07000119,0,M,2016,312
E07000120,0,M,2016,498
E07000121,0,M,2016,770
E07000122,0,M,2016,652
E07000123,0,M,2016,997
E07000124,0,M,2016,236
E07000125,0,M,2016,420
E07000126,0,M,2016,613
E07000127,0,M,2016,542
E07000128,0,M,2016,461
E08000011,0,M,2016,1045
E08000012,0,M,2016,3035
E08000014,0,M,2016,1473
E08000013,0,M,2016,1048
E08000015,0,M,2016,1885
E06000011,0,M,2016,1538
E06000010,0,M,2016,1872
E06000012,0,M,2016,954
E06000013,0,M,2016,896
E06000014,0,M,2016,1035
E07000163,0,M,2016,246
E07000164,0,M,2016,412
E07000165,0,M,2016,811
E07000166,0,M,2016,277
E07000167,0,M,2016,240
E07000168,0,M,2016,561
E07000169,0,M,2016,486
E08000016,0,M,2016,1372
E08000017,0,M,2016,1883
E08000018,0,M,2016,1602
E08000019,0,M,2016,3374
E08000032,0,M,2016,4104
E08000033,0,M,2016,1250
E08000034,0,M,2016,2844
E08000035,0,M,2016,5305
E08000036,0,M,2016,2132
E06000015,0,M,2016,1663
E06000016,0,M,2016,2640
E06000018,0,M,2016,2258
E06000017,0,M,2016,180
E07000032,0,M,2016,632
E07000033,0,M,2016,428
E07000034,0,M,2016,525
E07000035,0,M,2016,255
E07000036,0,M,2016,639
E07000037,0,M,2016,446
E07000038,0,M,2016,470
E07000039,0,M,2016,554
E07000129,0,M,2016,547
E07000130,0,M,2016,976
E07000131,0,M,2016,447
E07000132,0,M,2016,580
E07000133,0,M,2016,254
E07000134,0,M,2016,546
E07000135,0,M,2016,298
E07000136,0,M,2016,419
E07000137,0,M,2016,641
E07000138,0,M,2016,661
E07000139,0,M,2016,585
E07000140,0,M,2016,518
E07000141,0,M,2016,718
E07000142,0,M,2016,457
E07000150,0,M,2016,519
E07000151,0,M,2016,419
E07000152,0,M,2016,488
E07000153,0,M,2016,618
E07000154,0,M,2016,1692
E07000155,0,M,2016,438
