"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
SCOTLAND,,"2,736,310",,"28,444","29,592","28,358","29,291","29,118","27,832","27,403","26,941","26,409","25,876","25,819","26,975","27,239","28,404","29,073","29,982","29,632","30,120","31,417","34,723","37,833","38,211","36,778","36,778","36,991","36,026","35,469","35,527","34,356","35,065","35,740","35,176","34,555","33,008","31,150","30,272","32,288","32,915","33,108","35,259","38,032","39,781","39,211","40,683","41,568","41,439","41,471","42,777","42,727","42,313","40,990","40,246","38,681","38,797","37,747","36,631","35,516","34,170","33,667","33,103","32,018","32,489","32,325","33,484","34,520","37,638","28,419","27,334","27,716","27,288","25,295","23,729","24,164","23,670","23,056","22,378","21,631","20,634","19,314","18,235","18,188","16,851","15,644","14,261","12,769","11,769","10,846","9,382","8,392","7,107","27,061"
DataZone2011Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,,487,,10,9,11,8,8,7,6,7,6,4,4,3,5,1,1,4,3,1,2,2,5,5,12,4,3,10,4,11,10,7,10,11,8,8,9,2,4,7,9,11,8,3,8,11,5,5,3,7,6,10,6,10,7,6,9,7,6,2,5,3,5,4,2,7,7,8,3,6,9,5,4,0,3,3,3,4,3,2,1,5,5,2,2,2,4,3,0,3,0,0,3
S01006507,,431,,5,5,1,3,7,4,7,3,2,3,1,3,3,4,4,7,5,6,6,4,9,4,6,2,5,2,2,2,0,2,5,5,8,5,4,6,5,5,1,5,10,4,4,6,9,8,5,9,5,6,12,3,4,18,4,3,4,6,8,5,7,10,7,6,11,11,11,3,7,2,2,4,7,4,7,5,0,5,4,3,4,3,0,3,2,0,2,0,0,0,2
S01006508,,320,,2,2,1,4,2,2,3,2,4,0,3,4,3,2,1,2,2,3,0,4,2,3,6,4,13,6,6,5,7,5,4,10,8,11,1,10,3,4,2,6,11,3,3,4,8,4,8,5,4,8,7,7,4,5,4,4,3,7,3,6,5,2,3,2,5,3,4,1,1,2,2,1,0,1,1,2,1,0,1,5,0,1,1,2,1,0,0,1,0,1,1
S01006509,,302,,5,2,4,4,1,2,6,2,5,3,3,1,3,0,2,3,2,1,2,1,0,3,2,6,1,4,3,2,0,4,7,3,5,7,7,6,3,3,5,3,8,8,3,4,4,5,4,2,5,5,5,1,3,3,2,4,6,4,1,6,8,3,9,3,4,8,1,2,2,4,6,3,1,1,2,0,2,1,5,1,3,3,1,5,4,1,0,3,0,1,6
S01006510,,323,,0,3,3,1,3,5,2,1,3,1,3,6,2,7,4,4,1,3,3,7,7,5,0,1,0,3,3,2,4,1,0,5,3,3,0,1,3,3,5,5,5,5,4,2,7,4,6,5,5,9,6,2,10,6,8,1,7,4,4,2,3,5,2,2,1,0,1,6,3,10,4,4,4,5,5,4,0,2,1,5,3,1,3,2,0,3,3,5,3,4,11
S01006511,,373,,0,0,2,5,2,3,3,6,0,3,5,5,2,4,3,4,3,6,6,6,8,3,3,2,4,2,1,2,2,1,4,1,4,0,3,1,5,3,5,2,6,2,4,6,10,9,5,4,9,9,8,4,2,5,8,8,9,1,3,5,3,7,5,5,3,8,8,6,5,3,2,5,8,12,5,4,8,3,2,4,3,4,3,1,3,2,2,3,4,0,1
S01006512,,260,,2,4,3,4,7,8,2,8,4,4,7,8,5,3,9,2,5,5,1,0,0,3,1,5,2,2,0,3,0,2,0,2,1,2,5,7,2,3,4,0,7,5,9,2,4,5,10,5,2,4,5,7,2,4,3,3,2,2,4,4,3,2,0,2,2,3,2,2,3,0,0,1,0,1,2,2,2,1,2,0,2,1,1,1,0,0,1,0,0,0,0
S01006513,,364,,1,5,2,0,1,3,1,3,1,3,3,6,5,5,8,4,5,5,3,1,4,1,4,2,2,0,0,3,1,1,2,3,1,5,3,1,1,2,2,5,2,3,3,12,3,3,3,9,6,12,4,1,9,2,2,3,7,8,4,0,5,8,5,5,2,4,5,0,6,4,6,8,5,4,4,8,7,5,6,7,3,0,5,5,6,3,7,4,6,3,14
