"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
SCOTLAND,,"2,741,020",,"27,869","28,533","29,689","28,455","29,298","29,221","27,917","27,488","26,995","26,445","25,925","25,841","27,015","27,282","28,437","29,118","30,032","29,698","30,463","33,510","35,760","38,347","38,391","36,775","36,568","36,920","35,849","35,426","35,554","34,365","35,135","35,749","35,210","34,565","33,040","31,216","30,286","32,306","32,913","33,147","35,306","38,015","39,754","39,180","40,677","41,555","41,409","41,412","42,752","42,642","42,239","40,890","40,163","38,630","38,653","37,652","36,525","35,367","34,019","33,494","32,949","31,828","32,267","32,116","33,142","34,203","37,221","28,092","26,976","27,290","26,848","24,811","23,200","23,624","23,045","22,409","21,688","20,871","19,857","18,488","17,317","17,174","15,812","14,599","13,167","11,622","10,684","9,680","8,253","7,326","27,374"
DataZone2011Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,,468,,3,9,9,10,7,7,6,5,7,6,4,5,4,4,1,2,4,3,1,2,2,8,3,9,2,5,11,3,9,11,7,7,9,8,9,7,2,2,8,10,12,7,3,7,9,6,4,3,7,6,11,6,10,7,7,9,6,6,2,5,3,5,5,2,7,6,8,3,5,9,5,4,0,3,2,2,4,3,2,0,5,4,1,2,2,4,3,0,3,0,2
S01006507,,446,,3,5,7,1,6,7,5,9,3,2,2,1,5,2,4,4,7,6,4,3,4,9,6,5,1,5,4,4,2,0,2,6,4,10,5,4,7,6,5,1,6,8,4,4,7,9,8,5,10,5,7,12,3,4,18,4,3,4,6,8,5,8,10,7,5,11,11,11,3,7,2,2,4,7,3,6,5,0,5,5,3,3,3,0,3,2,0,2,0,0,2
S01006508,,321,,1,3,1,1,3,1,2,3,1,4,1,3,3,3,2,1,2,1,3,1,4,3,2,8,5,10,8,7,6,6,4,5,9,8,12,2,9,4,5,3,6,9,3,3,3,9,4,7,5,4,8,7,6,4,5,4,5,3,8,4,6,5,1,3,2,5,3,3,1,1,2,2,1,0,1,1,2,1,0,1,5,0,1,1,2,1,0,0,1,0,2
S01006509,,289,,2,6,1,4,4,1,2,6,2,4,3,3,1,3,0,2,3,2,0,2,1,1,4,2,7,1,3,1,1,1,5,6,2,5,7,6,5,4,3,5,3,7,8,3,4,3,5,4,2,5,5,5,1,3,3,2,4,6,4,1,6,9,2,9,2,4,8,0,2,2,4,5,3,1,1,2,0,2,1,4,1,2,3,1,4,4,1,0,3,0,4
S01006510,,342,,1,2,4,4,2,3,4,2,2,3,1,3,7,3,7,4,5,1,2,4,7,7,5,1,1,5,2,4,3,4,0,0,4,4,3,0,3,3,4,5,6,4,5,5,1,7,4,5,5,6,8,7,2,10,5,8,0,7,5,4,2,3,4,2,2,2,0,1,6,3,11,4,4,4,5,6,4,0,1,2,5,4,1,3,3,1,2,3,3,4,14
S01006511,,383,,2,0,1,2,5,2,4,3,6,0,4,5,5,2,5,4,5,4,5,5,5,7,5,3,2,5,2,1,3,2,2,5,2,4,0,5,1,5,3,4,2,8,3,4,6,11,8,5,5,8,8,8,5,2,5,8,8,9,1,3,6,2,7,5,5,3,8,9,5,5,3,2,5,7,12,5,4,7,2,2,3,4,4,2,1,3,2,2,3,3,0
S01006512,,264,,1,2,5,2,4,8,8,2,9,6,4,6,8,5,3,8,1,5,3,0,0,1,4,0,2,1,4,0,3,0,3,1,2,1,1,5,7,2,3,4,0,7,5,9,2,4,5,10,5,4,4,6,7,2,6,4,3,2,2,4,4,4,2,0,2,2,2,2,2,3,0,0,1,0,1,2,2,1,1,2,0,2,1,1,1,0,0,1,0,0,0
S01006513,,367,,1,1,4,3,0,1,2,1,3,1,3,3,5,6,6,8,4,4,4,2,0,3,1,4,2,1,0,1,3,2,3,2,2,1,5,3,2,0,3,2,4,3,3,4,11,3,3,3,8,6,10,4,2,8,2,2,3,7,8,4,1,5,7,5,5,2,5,4,0,6,5,6,7,5,5,4,7,7,7,6,8,2,0,8,4,7,3,7,5,7,17
S01006514,,570,,1,9,6,5,3,5,6,7,8,3,9,5,12,7,10,13,8,9,1,8,7,5,4,9,3,4,6,10,6,3,3,7,7,8,4,2,9,9,9,4,5,7,7,10,10,11,11,6,14,9,9,10,7,10,8,10,8,7,7,4,9,3,5,6,2,2,8,9,3,4,4,7,5,3,6,2,4,3,3,2,3,4,2,4,4,3,3,1,5,4,23
S01006515,,391,,2,3,2,1,6,5,10,6,7,3,5,7,11,11,6,8,2,4,2,0,5,4,6,1,2,2,4,2,0,1,4,2,9,5,6,4,4,4,2,6,14,6,15,10,8,5,6,13,6,2,6,5,9,8,6,4,6,5,4,8,2,3,4,8,7,1,2,6,1,3,5,0,3,1,5,2,1,3,3,1,1,2,0,2,1,2,0,1,0,0,1
S01006516,,282,,0,2,3,4,0,3,3,2,3,1,1,2,7,2,2,5,0,6,4,3,12,1,6,9,6,3,1,1,2,5,2,4,1,0,0,2,4,2,0,5,4,3,4,5,1,3,7,6,10,4,2,3,4,2,4,7,4,4,2,5,7,4,2,4,3,3,3,3,3,5,5,4,3,3,4,5,2,2,2,1,1,2,0,2,0,2,1,0,0,1,2
S01006517,,520,,1,5,5,6,9,8,10,8,3,7,5,3,6,6,8,10,6,11,3,2,4,8,7,4,5,2,1,3,5,3,4,2,6,0,3,11,7,6,8,5,7,7,4,2,11,7,9,5,7,14,9,7,10,12,11,12,5,9,4,5,8,8,12,7,7,3,6,8,6,5,6,9,5,5,2,3,8,2,5,0,2,3,3,7,5,2,5,1,1,0,3
S01006518,,337,,2,0,2,4,3,3,5,2,6,1,9,7,6,3,8,0,1,4,4,2,4,1,2,3,1,0,0,0,4,2,3,2,4,3,4,0,3,5,1,5,1,8,5,2,7,3,6,4,6,6,12,8,3,2,5,11,5,6,3,2,6,8,10,5,6,2,4,7,4,8,2,7,5,2,4,5,2,3,0,4,3,2,3,6,2,1,0,0,1,0,1
S01006519,,473,,1,4,3,4,5,6,4,2,9,9,4,5,8,3,14,4,9,4,10,4,6,3,10,7,10,3,5,0,2,4,2,4,2,3,3,8,9,6,6,5,7,6,7,9,9,11,12,9,5,6,8,11,10,4,4,9,10,13,10,5,1,4,7,5,7,6,8,4,2,7,5,7,1,1,2,1,3,3,0,2,3,2,1,2,1,1,1,1,0,2,8
S01006520,,383,,3,1,6,5,3,6,5,5,9,8,8,10,15,5,9,12,5,8,2,0,4,3,5,4,3,1,0,1,4,2,3,1,0,2,2,7,4,6,7,10,14,2,9,9,8,11,15,9,5,9,9,9,13,9,6,6,2,2,5,3,3,1,3,2,2,2,5,4,0,2,2,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
