"Table 1c: Estimated population by sex, single year of age, 2011 Data Zone area, and council area: 30 June 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Council Area,All Ages,,,,,FEMALES,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
SCOTLAND,,"2,777,197",,"26,819","27,567","27,788","28,504","29,033","30,162","28,855","29,683","29,598","28,272","27,796","27,257","26,739","26,167","26,038","27,243","27,563","28,702","29,789","32,749","33,871","34,923","36,314","37,631","39,540","38,982","37,498","37,318","37,556","36,621","36,099","36,312","35,089","35,723","36,385","35,753","34,995","33,471","31,663","30,603","32,622","33,160","33,272","35,532","38,123","39,905","39,222","40,801","41,543","41,358","41,391","42,646","42,441","42,060","40,724","39,939","38,427","38,397","37,263","36,058","34,941","33,606","33,002","32,395","31,202","31,507","31,414","32,127","33,103","35,906","26,974","25,687","25,970","25,265","23,254","21,636","21,833","21,118","20,348","19,396","18,453","17,214","15,965","14,544","14,041","12,678","11,277","9,897","8,421","7,418","29,050"
DataZone2011Code,CouncilArea2011Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,Aberdeen City,481,,3,4,8,5,6,13,11,7,8,3,6,7,5,4,6,3,4,2,2,3,3,2,4,6,8,4,16,3,9,8,1,13,8,5,8,8,6,8,6,3,3,6,9,9,9,6,8,10,4,3,3,7,7,8,7,11,6,6,9,5,4,1,5,3,4,7,0,7,6,8,3,5,9,5,3,0,3,3,1,4,2,1,0,6,4,1,2,2,3,2,2
S01006507,Aberdeen City,423,,3,6,5,4,6,8,1,3,7,4,11,1,2,2,2,4,1,4,4,6,4,5,4,6,10,5,7,2,4,0,0,3,0,0,5,5,11,5,5,11,6,6,2,4,4,5,3,5,7,7,5,10,5,7,11,3,4,14,4,3,3,7,6,5,6,10,7,6,10,9,10,2,7,1,2,4,6,3,3,7,0,3,4,3,2,2,0,2,1,0,1
S01006508,Aberdeen City,309,,2,1,2,2,3,1,0,1,0,2,3,0,2,2,2,1,3,1,1,1,1,5,4,12,13,2,10,6,10,6,9,7,9,6,0,4,6,7,3,6,2,5,3,5,9,2,5,2,8,2,7,5,2,8,6,6,5,5,1,3,2,7,3,6,5,1,3,2,3,3,3,1,0,0,3,1,0,1,1,0,1,0,1,5,0,1,1,3,2,0,3
S01006509,Aberdeen City,293,,3,2,3,3,6,2,2,6,2,5,7,3,5,2,4,2,3,0,1,1,0,0,2,1,1,7,4,8,1,1,0,0,5,6,5,0,5,8,2,6,5,4,7,4,7,4,3,3,5,4,3,2,5,5,7,1,3,3,2,4,5,5,2,6,8,2,10,3,5,6,0,2,1,3,5,2,2,2,2,0,2,1,3,1,1,1,1,1,2,1,3
S01006510,Aberdeen City,356,,3,2,2,2,4,1,4,2,3,8,2,3,3,2,1,7,3,7,3,3,0,0,1,7,9,8,2,2,6,3,3,5,4,1,4,9,4,3,0,5,3,4,4,8,3,4,5,1,6,5,4,5,6,8,5,2,10,3,7,0,6,5,4,2,3,4,1,2,2,0,3,6,6,9,4,4,2,5,5,3,1,1,3,5,4,1,3,2,4,4,18
S01006511,Aberdeen City,388,,5,2,3,3,3,3,3,6,1,6,3,6,0,4,5,6,3,3,2,5,2,1,5,6,6,4,5,4,4,5,1,3,0,0,6,4,6,3,7,3,4,5,3,1,9,3,3,5,11,5,5,5,8,7,9,5,2,4,8,11,7,1,3,6,2,6,5,5,3,8,9,5,2,3,5,5,7,12,5,3,6,2,1,1,5,2,1,2,1,3,2
S01006512,Aberdeen City,268,,4,1,0,1,1,3,2,6,6,7,3,8,6,4,6,8,5,3,5,0,3,2,2,2,0,5,0,1,1,4,0,2,1,5,1,3,1,1,4,8,3,2,6,0,6,5,11,3,4,5,13,5,5,3,6,6,2,6,3,2,3,2,4,4,4,2,0,2,2,3,2,2,3,0,0,1,0,0,2,2,1,1,2,0,2,1,1,0,0,0,1
S01006513,Aberdeen City,387,,1,1,3,4,4,4,3,0,2,3,4,3,2,3,2,6,4,6,5,2,2,2,0,0,4,1,2,2,1,0,2,4,2,4,4,2,4,7,6,2,0,1,3,2,3,2,1,14,3,4,1,8,6,8,5,2,9,3,4,3,7,10,5,2,6,7,4,2,2,5,4,3,9,4,5,7,4,8,6,7,10,6,4,8,3,2,2,3,11,6,30
