"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,,,,MALES,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
SCOTLAND,,"2,570,300",,"30,877","29,388","30,189","30,173","29,119","28,397","28,517","28,033","26,840","26,806","27,743","28,919","29,930","30,490","31,684","31,767","31,917","32,818","33,467","36,402","37,785","36,354","36,117","36,710","35,129","35,166","34,410","33,302","33,649","33,865","34,091","33,372","32,617","29,904","29,660","31,290","31,209","32,165","34,009","35,796","37,075","36,731","38,207","38,979","39,881","39,324","40,854","40,034","40,211","39,785","38,604","37,508","37,006","36,150","35,429","34,422","32,817","32,635","32,019","30,867","31,303","31,584","32,416","33,316","36,009","27,452","25,535","26,152","24,717","22,559","20,669","21,051","20,558","19,950","18,436","17,632","16,697","15,340","14,169","13,550","12,446","10,829","9,906","8,414","7,587","6,686","5,694","4,839","3,771","3,367","9,052"
DataZone2011Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,,419,,3,5,5,5,8,3,2,4,2,3,0,2,1,3,12,1,3,2,5,6,5,3,6,4,9,6,6,11,12,8,2,3,6,8,6,6,6,8,6,10,8,7,6,5,7,10,6,10,5,4,3,7,6,10,5,7,14,8,7,8,4,2,4,5,6,4,4,3,3,5,1,2,2,6,1,1,1,1,1,0,0,2,2,1,2,1,1,1,1,1,2
S01006507,,395,,4,6,1,5,2,2,1,5,5,3,6,8,10,2,7,7,7,8,2,3,6,4,3,3,1,2,1,5,6,1,0,3,6,6,3,4,5,5,3,4,6,3,4,8,5,6,8,8,3,6,4,4,4,4,9,7,14,3,4,6,7,5,11,8,12,3,6,4,8,6,5,2,3,6,1,5,1,4,2,4,0,2,1,2,2,1,0,2,0,1,0
S01006508,,322,,9,3,4,1,3,2,5,4,3,1,3,5,1,2,4,2,1,2,2,1,8,0,1,6,6,8,1,6,6,3,5,11,9,5,6,3,7,7,5,8,4,5,6,2,7,8,7,8,5,5,8,4,5,3,8,7,1,5,8,5,4,5,3,3,4,1,3,4,0,3,3,0,2,0,1,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
S01006509,,273,,1,4,3,3,5,4,1,3,5,5,5,3,5,3,2,2,1,2,3,5,1,1,3,3,4,2,2,4,2,3,2,5,0,5,7,8,4,2,5,5,4,4,4,0,4,5,5,3,3,2,4,5,4,3,4,5,4,4,1,5,4,6,5,6,6,0,2,3,1,0,1,4,4,2,3,2,0,2,2,1,2,1,4,2,2,0,0,0,0,0,2
S01006510,,300,,1,1,3,4,1,3,2,2,3,2,2,9,1,4,5,3,2,5,2,2,4,3,5,3,6,3,3,3,4,3,2,2,5,2,0,7,2,3,3,4,4,5,3,5,6,7,8,2,5,3,5,5,5,3,5,7,1,3,8,4,6,2,7,1,6,3,2,1,3,2,3,3,4,4,2,2,3,2,1,2,2,7,0,1,1,3,0,0,2,3,4
S01006511,,375,,1,2,3,1,3,2,1,2,7,3,5,6,4,5,14,6,8,11,3,7,1,2,5,2,5,4,2,1,1,2,0,3,1,3,1,2,5,1,3,5,9,2,3,1,5,6,8,6,4,7,5,5,8,8,7,9,6,7,7,6,3,5,3,6,9,3,8,9,6,2,5,6,2,4,2,7,4,5,5,0,2,3,4,1,1,2,2,2,1,0,1
S01006512,,268,,4,1,0,7,3,3,9,3,6,2,7,9,5,7,8,4,15,5,5,2,1,3,2,0,1,0,0,1,0,0,0,2,0,0,1,2,6,4,5,7,6,4,2,0,4,3,8,8,11,5,4,1,3,6,2,4,2,1,6,11,1,3,2,6,2,1,4,2,0,2,2,1,2,1,1,1,0,0,1,0,2,1,0,1,1,0,0,0,0,0,0
S01006513,,313,,0,5,2,5,5,3,1,4,4,4,9,4,6,6,5,3,9,6,2,1,0,2,3,1,3,4,0,0,3,0,2,0,4,2,3,2,4,3,0,2,5,3,3,6,4,5,8,7,7,5,4,3,7,4,4,5,1,1,4,7,1,4,5,3,3,0,4,6,4,3,5,4,2,6,2,2,4,6,1,4,3,0,4,1,3,2,1,5,2,3,5
S01006514,,515,,3,3,7,12,11,4,7,9,15,5,6,6,10,12,14,9,12,10,5,10,8,5,2,3,4,6,5,8,4,3,3,5,1,4,2,3,0,2,8,7,7,7,13,7,6,6,13,10,6,10,10,10,8,10,7,9,7,8,6,5,4,7,7,7,6,3,5,3,9,5,3,2,1,4,2,1,2,1,4,1,3,4,0,2,1,1,1,0,1,0,7
S01006515,,365,,4,1,6,5,5,6,8,6,5,6,4,9,6,9,3,6,7,7,6,2,6,6,5,5,0,3,1,0,2,0,4,0,2,4,6,2,2,1,4,3,5,4,6,9,6,11,8,5,7,1,10,7,8,4,4,7,10,8,4,6,7,8,2,3,4,6,3,3,4,2,3,2,2,2,3,4,1,1,1,0,0,1,1,1,2,0,1,0,0,0,1
S01006516,,260,,1,4,2,0,1,3,2,5,4,0,5,4,4,1,10,0,6,10,3,6,6,1,2,4,2,4,2,5,2,3,2,3,0,8,1,1,7,1,4,1,4,1,6,2,2,5,8,3,6,2,1,1,3,6,5,2,3,4,6,4,0,5,2,6,7,3,1,1,1,3,2,0,0,6,3,2,2,1,1,3,3,0,2,0,0,1,0,0,0,0,1
S01006517,,496,,1,1,4,4,9,8,5,10,8,5,8,6,11,12,6,8,9,15,8,4,5,3,3,5,5,3,5,3,0,1,1,3,1,4,2,1,9,7,2,3,5,2,7,12,9,4,4,6,12,16,9,11,7,4,13,14,6,4,11,15,10,8,6,8,5,7,5,5,8,6,2,4,4,3,2,4,2,2,3,3,2,1,3,1,2,4,3,1,0,2,1
S01006518,,315,,2,2,4,7,2,2,4,7,2,5,3,1,7,6,4,5,9,7,5,1,4,1,1,2,3,1,0,2,1,5,2,1,3,2,1,2,2,1,2,4,3,4,3,5,6,1,4,6,5,9,10,3,7,4,6,5,4,7,5,9,6,6,6,2,6,2,5,4,3,4,4,4,3,2,3,1,1,5,1,1,1,4,2,1,1,1,2,0,2,0,1
S01006519,,425,,2,5,3,6,5,7,5,8,8,6,12,7,8,11,8,11,12,8,6,4,5,9,5,2,2,0,7,2,0,0,1,2,1,1,3,1,2,6,2,2,4,3,5,7,9,7,7,3,6,13,8,7,10,8,5,7,12,8,6,9,6,5,3,4,10,3,3,4,4,7,2,5,2,3,3,2,2,2,2,1,1,3,0,1,1,1,3,2,0,0,1
S01006520,,366,,0,7,6,7,12,4,10,8,3,3,3,12,4,11,8,11,14,5,6,5,4,3,4,3,1,4,2,5,0,0,0,1,0,0,0,0,5,2,7,9,3,9,5,7,4,10,7,11,8,7,10,13,8,5,3,5,5,8,5,6,4,4,6,1,3,1,5,0,3,1,4,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
S01006521,,312,,3,1,4,2,4,5,6,3,13,4,6,3,3,4,1,3,5,2,2,5,4,6,3,2,2,2,1,2,1,1,7,1,4,0,2,7,5,1,4,2,2,4,6,8,12,5,9,6,6,7,7,5,5,10,4,3,6,1,6,5,4,6,7,6,3,5,3,2,2,3,3,2,4,1,0,0,1,0,0,1,0,2,1,1,2,0,0,0,0,0,0
S01006522,,271,,5,6,2,4,3,8,4,2,4,3,3,2,3,4,4,5,4,7,6,1,0,2,1,0,2,0,2,0,1,1,2,2,5,3,1,5,7,4,2,8,4,5,2,6,6,2,7,1,8,2,4,4,5,5,4,3,4,6,3,9,5,0,4,3,3,1,1,2,3,2,0,0,1,4,6,2,0,1,3,2,3,0,2,2,0,0,0,0,0,2,1
S01006523,,449,,6,4,8,2,5,6,2,5,6,6,2,9,3,9,10,5,8,9,5,1,1,3,3,6,6,7,4,9,5,2,4,3,2,2,5,1,7,8,4,5,7,11,3,9,7,8,7,3,11,6,8,7,9,12,6,8,6,6,6,7,2,11,6,5,6,8,5,2,3,4,2,2,4,5,3,2,4,5,1,2,2,1,3,4,2,3,3,1,0,2,1
S01006524,,431,,3,6,3,0,4,1,3,4,2,2,10,8,4,9,11,7,7,5,6,5,2,5,6,4,9,2,3,1,5,9,1,2,1,6,3,4,3,3,3,7,5,1,5,4,11,5,8,7,6,3,8,8,6,10,4,6,9,12,9,3,7,5,3,5,9,2,4,5,6,4,4,2,2,6,6,3,2,3,3,7,4,3,5,1,5,2,3,0,2,2,7
S01006525,,401,,3,6,0,2,3,7,3,5,1,3,6,5,8,7,12,7,9,5,3,7,7,7,4,3,5,3,3,1,2,3,3,3,3,0,0,3,2,3,3,4,8,4,9,3,8,6,4,5,6,8,7,10,5,3,3,8,4,6,4,5,9,5,5,6,8,4,1,8,8,5,2,5,3,5,7,1,6,2,2,7,6,4,3,2,0,2,3,0,0,0,2
