"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
SCOTLAND,,"2,586,680",,"29,130","30,142","31,061","29,557","30,309","30,269","29,219","28,511","28,573","28,059","26,983","26,851","27,870","28,963","29,965","30,589","31,729","31,885","32,249","34,226","35,337","37,629","38,353","36,745","36,372","36,485","34,909","34,994","34,409","33,164","33,506","33,834","33,993","33,254","32,423","29,739","29,749","31,303","31,290","32,161","34,002","35,703","36,932","36,650","38,057","38,813","39,642","39,065","40,697","39,830","39,961","39,487","38,383","37,310","36,720","35,735","35,055","34,006","32,454","32,115","31,503","30,354","30,664","30,912","31,574","32,495","34,939","26,516","24,538","25,112","23,567","21,384","19,514","19,729","19,198","18,461","16,900","16,114","15,043","13,712","12,504","11,799","10,676","9,154","8,123","6,752","5,937","5,109","4,223","3,452","10,316"
DataZone2011Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,,418,,3,7,3,5,5,2,6,3,2,2,3,4,1,4,2,2,14,1,3,1,3,6,5,5,5,4,8,7,4,10,14,8,1,5,4,5,5,7,7,10,4,10,8,8,7,5,8,9,7,12,6,5,1,10,3,10,4,5,15,6,6,8,3,2,5,5,6,4,5,3,3,5,1,2,2,5,1,1,1,2,1,0,0,2,1,1,0,0,1,1,2
S01006507,,412,,6,4,5,9,3,8,0,4,3,3,6,3,5,8,9,6,5,6,3,6,4,3,7,4,5,5,1,2,2,6,7,4,0,6,6,5,0,2,4,5,4,6,6,2,4,9,4,5,8,8,4,6,4,4,3,5,9,10,15,4,4,5,8,4,10,10,12,3,4,4,9,6,5,2,3,3,1,5,0,4,2,2,0,0,1,1,2,1,0,1,0
S01006508,,344,,10,5,9,4,5,2,5,2,6,5,3,0,3,5,1,3,3,2,1,2,2,1,10,3,3,8,7,9,5,2,5,3,8,12,9,4,4,5,9,8,3,9,2,1,6,3,7,9,7,7,5,4,7,4,4,2,10,7,1,4,8,3,3,6,3,2,3,0,2,4,0,3,3,0,2,0,1,3,0,1,0,1,0,0,0,0,0,0,1,0,0
S01006509,,278,,4,4,2,3,3,3,6,5,0,2,4,6,5,3,5,3,2,2,2,1,1,4,3,0,3,3,4,3,2,2,5,5,3,7,2,4,6,9,3,1,3,5,3,2,3,0,4,7,6,4,3,1,5,5,4,3,4,6,4,4,1,4,5,5,6,5,6,1,1,3,1,0,0,3,4,2,4,2,0,1,1,1,1,1,4,2,1,0,0,0,2
S01006510,,303,,2,2,1,0,3,6,2,4,4,4,4,3,1,10,1,4,4,4,3,5,3,2,1,2,5,2,7,2,4,3,1,4,5,3,6,3,1,7,3,2,6,5,7,6,2,5,4,7,5,1,4,4,5,5,5,4,4,6,1,3,7,5,6,2,7,0,6,3,1,0,2,3,3,3,4,4,2,1,3,1,0,2,2,6,0,2,1,1,0,0,4
S01006511,,385,,1,1,2,3,3,1,5,2,1,3,7,3,5,6,4,6,14,6,9,7,0,7,2,3,6,2,6,6,4,2,3,4,0,3,1,2,1,1,5,1,5,6,5,2,3,1,7,7,9,6,3,7,5,3,8,9,7,9,6,8,7,6,4,5,3,6,10,3,8,9,5,2,5,4,3,5,1,6,4,5,5,0,2,3,4,1,1,1,2,1,0
S01006512,,278,,5,2,5,2,2,8,2,6,8,4,8,6,10,6,4,7,8,1,13,0,3,3,2,5,2,0,1,0,1,1,1,0,2,3,2,1,1,2,5,2,6,7,4,4,3,3,5,2,6,7,10,6,4,1,5,6,2,4,2,1,5,10,0,5,1,3,2,1,3,2,0,2,1,1,2,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0
S01006513,,309,,4,1,0,5,3,5,5,4,0,5,2,4,10,3,7,7,4,1,8,2,1,1,0,2,2,1,2,5,1,0,3,3,3,1,5,4,4,2,3,4,0,2,3,3,5,6,2,5,8,7,7,5,4,3,7,3,4,3,2,2,3,8,1,3,4,4,3,0,2,5,3,3,6,2,1,5,2,6,3,3,1,5,3,2,6,0,0,1,1,5,10
S01006514,,523,,3,1,3,3,9,11,8,2,6,9,18,6,10,10,11,17,17,7,12,5,5,11,6,6,5,4,6,3,5,9,7,0,4,7,3,6,3,2,0,3,9,6,9,7,14,8,6,7,10,10,4,11,10,9,8,9,5,8,7,7,3,4,4,7,5,6,5,3,5,3,9,5,2,2,1,4,2,1,2,1,4,2,3,4,0,3,2,0,0,0,4
S01006515,,400,,2,8,6,4,9,4,6,6,12,8,9,9,6,10,6,10,3,7,6,0,3,4,4,5,5,6,2,3,2,1,2,4,6,1,2,4,9,4,1,1,6,6,7,4,8,8,6,9,10,5,7,2,10,6,4,5,3,7,9,9,4,6,6,8,1,2,3,7,3,3,3,2,2,2,2,1,3,4,1,1,1,0,0,1,1,0,1,0,0,0,1
S01006516,,267,,4,0,0,3,4,0,1,3,3,4,5,0,6,6,4,1,10,1,7,5,4,6,8,0,2,4,5,4,0,4,3,5,3,3,1,8,1,1,6,2,4,1,3,1,6,2,3,5,8,3,5,3,1,1,3,6,5,2,2,3,6,5,0,5,1,6,7,3,1,1,1,3,2,0,0,6,3,2,2,1,1,3,3,0,0,0,0,1,0,0,0
S01006517,,499,,1,2,3,1,3,7,11,9,5,12,9,5,11,6,11,12,6,6,6,9,5,4,2,5,5,5,4,3,5,1,2,0,2,4,1,6,2,2,11,8,4,2,5,2,10,12,7,3,6,5,13,16,9,13,5,4,12,14,7,3,10,15,9,8,8,8,5,7,5,5,8,6,2,3,4,3,2,3,2,1,2,2,2,1,3,1,2,3,3,0,2
