"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
SCOTLAND,,"2,610,469",,"28,765","29,135","29,527","30,503","31,354","29,801","30,513","30,453","29,438","28,689","28,779","28,216","27,119","26,995","28,050","29,133","30,163","30,796","32,041","33,634","34,514","35,638","36,142","38,305","38,562","37,083","36,676","36,683","35,205","35,146","34,548","33,488","33,813","34,009","34,142","33,487","32,708","29,894","29,942","31,434","31,390","32,144","33,994","35,763","36,869","36,546","37,963","38,692","39,457","38,907","40,490","39,635","39,711","39,209","38,177","37,015","36,388","35,448","34,653","33,567","31,963","31,625","30,952","29,767","29,940","30,116","30,668","31,496","33,786","25,421","23,449","23,965","22,259","20,048","18,201","18,333","17,682","16,944","15,270","14,474","13,378","11,995","10,877","10,003","8,767","7,412","6,435","5,175","4,389","3,715","11,423"
DataZone2011Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,,418,,6,4,4,6,3,4,5,2,6,3,2,3,3,5,1,1,2,2,12,0,0,2,4,8,6,5,10,4,10,7,8,10,10,11,4,3,1,3,5,8,7,8,3,10,8,8,9,7,6,8,5,10,5,6,1,10,3,10,4,5,16,5,5,8,4,1,5,6,6,4,5,2,3,3,1,0,2,5,1,1,1,1,1,0,0,2,1,1,0,0,2
S01006507,,389,,3,4,4,2,5,7,4,7,0,5,0,3,4,2,5,5,10,3,5,4,4,3,3,5,6,1,6,5,1,4,4,8,4,2,1,4,6,5,2,3,4,5,3,6,7,3,5,8,3,4,9,8,3,6,4,4,3,5,10,10,13,3,4,5,8,4,10,10,12,3,4,4,9,5,5,2,2,3,2,4,0,2,2,1,0,0,0,0,2,1,0
S01006508,,344,,3,6,4,5,7,4,3,2,5,1,5,5,4,0,4,5,1,3,3,1,1,0,3,5,9,4,5,8,9,10,6,3,8,3,8,10,9,4,5,3,10,9,4,8,3,1,5,5,7,7,8,6,4,3,5,3,5,2,9,6,1,3,7,4,4,6,2,1,3,0,2,4,0,3,3,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1
S01006509,,264,,2,5,4,3,3,2,2,2,5,5,1,3,4,5,5,2,3,3,1,2,1,0,1,4,4,0,5,5,2,2,2,2,5,3,0,7,3,4,1,6,2,0,5,6,4,2,3,1,3,6,6,3,3,2,5,4,5,3,4,6,4,4,1,3,5,5,6,5,7,1,1,4,2,0,0,3,3,2,4,2,0,1,1,1,0,0,4,1,2,0,0
S01006510,,330,,3,1,2,4,1,2,3,6,1,4,4,3,5,4,3,13,1,4,4,4,3,6,2,3,4,5,4,3,7,2,4,5,1,3,5,6,5,4,1,6,5,3,6,5,9,4,3,6,4,7,8,0,4,7,5,5,5,4,4,6,1,2,7,4,5,2,8,0,5,1,2,1,2,4,3,2,3,3,2,1,3,2,0,2,0,5,1,0,0,1,7
S01006511,,384,,1,2,0,4,2,2,6,2,6,3,1,4,8,3,5,7,4,6,12,4,8,4,1,5,4,3,6,2,5,6,6,1,3,5,2,4,3,1,3,3,7,1,5,5,5,2,3,1,7,8,10,7,2,7,5,2,8,7,8,9,5,7,7,5,4,5,3,6,8,3,8,9,5,2,6,3,3,3,1,3,3,3,3,0,2,2,4,0,1,1,3
S01006512,,273,,2,0,5,1,7,1,2,8,2,6,6,4,10,6,10,8,5,6,8,0,7,0,3,4,2,6,4,1,0,1,0,1,0,1,1,2,6,0,1,2,4,3,7,5,6,3,3,3,5,2,4,7,10,6,4,1,5,6,2,4,1,1,6,9,0,5,0,2,2,1,3,2,0,1,1,1,2,1,1,0,0,0,1,0,1,1,0,1,1,0,0
S01006513,,324,,0,3,6,2,0,6,3,6,6,3,1,4,2,4,10,3,6,7,4,0,5,2,0,1,3,3,3,2,3,6,2,1,3,5,3,4,6,5,4,3,2,3,0,1,1,2,4,6,2,4,9,6,7,5,5,3,6,3,5,5,3,3,2,8,2,2,3,4,3,0,2,6,4,2,5,2,3,2,2,6,4,3,0,4,3,1,6,3,1,1,15
