"Table 1b: Estimated population by sex, single year of age, 2011 Data Zone area, and council area: 30 June 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Council Areas,All Ages,,,,,MALES,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
SCOTLAND,,"2,627,503",,"28,697","29,017","29,377","29,728","30,708","31,533","29,946","30,653","30,586","29,574","28,838","28,885","28,344","27,231","27,083","28,196","29,300","30,279","31,162","33,677","34,653","35,175","36,261","36,791","38,808","39,073","37,445","37,102","36,957","35,572","35,467","34,774","33,786","34,032","34,246","34,347","33,701","32,926","30,125","30,169","31,504","31,398","32,214","34,054","35,759","36,884","36,481","37,985","38,668","39,404","38,795","40,421","39,547","39,588","39,078","38,031","36,862","36,217","35,210","34,417","33,311","31,726","31,363","30,581","29,425","29,569","29,668","30,193","30,916","33,121","24,797","22,863","23,308","21,528","19,373","17,496","17,603","16,869","16,115","14,432","13,546","12,469","11,120","9,975","9,091","7,894","6,573","5,635","4,454","3,731","12,017"
DataZone2011Code,CouncilArea2011Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,Aberdeen City,416,,8,7,3,4,5,3,3,5,3,6,3,2,3,3,5,1,1,2,0,6,0,0,3,4,4,8,7,8,4,10,7,8,11,10,10,5,5,2,3,6,8,6,7,4,10,4,8,9,7,4,9,6,10,5,6,0,10,3,10,4,5,15,5,6,8,4,1,5,8,5,4,5,2,3,3,1,0,2,6,0,1,1,1,1,1,0,2,1,0,0,2
S01006507,Aberdeen City,384,,5,3,4,4,2,5,6,4,7,0,3,0,3,4,2,4,5,10,3,5,4,3,4,3,7,6,1,7,5,1,4,4,6,3,1,1,4,6,5,2,3,3,5,3,6,6,3,5,8,3,4,8,9,3,6,4,3,3,6,10,11,13,3,3,6,8,4,10,10,12,3,3,4,8,4,5,2,2,3,3,4,0,2,2,0,0,0,0,0,2,0
S01006508,Aberdeen City,331,,4,2,9,4,5,7,5,3,3,4,1,5,4,2,1,4,4,1,2,1,1,1,0,3,7,7,4,5,5,9,8,4,3,8,3,10,6,9,4,4,3,9,10,3,8,2,2,5,5,6,6,8,5,4,3,6,4,5,2,9,6,1,2,7,4,4,6,2,1,3,0,2,3,0,3,3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,1
S01006509,Aberdeen City,262,,4,2,5,4,2,2,2,2,2,4,5,1,3,4,5,5,2,3,1,0,2,1,0,1,3,5,0,5,4,2,4,4,2,6,4,0,7,3,4,0,6,1,0,5,6,4,1,3,2,3,6,6,3,3,2,5,4,3,3,4,6,4,4,3,3,5,6,6,5,7,0,1,4,3,0,0,3,3,2,3,2,1,1,0,0,0,0,4,0,1,0
S01006510,Aberdeen City,315,,1,3,2,2,4,1,3,3,6,1,3,4,2,5,4,3,12,1,2,3,4,3,4,2,4,6,5,4,5,7,2,3,2,0,4,4,7,4,4,1,6,4,3,6,5,11,4,3,7,4,6,7,0,4,8,4,5,5,4,4,6,1,2,6,3,5,2,8,0,5,2,2,1,3,3,3,2,1,3,2,1,3,2,0,1,0,2,1,0,0,5
S01006511,Aberdeen City,388,,7,1,2,0,5,3,2,5,2,6,3,1,4,6,2,5,5,4,4,11,4,8,3,2,5,3,4,6,3,4,6,7,3,2,5,2,5,1,1,5,4,6,1,3,4,6,3,4,1,7,8,8,6,2,8,5,2,9,7,8,10,6,7,7,6,6,5,3,6,8,3,8,8,4,2,6,2,3,3,1,3,3,3,3,0,2,2,4,0,1,4
S01006512,Aberdeen City,274,,1,2,0,5,0,7,1,2,8,3,7,6,4,10,6,10,6,3,5,6,0,7,0,2,5,3,7,3,1,0,0,0,1,0,3,0,2,6,0,1,3,4,3,7,5,6,3,4,3,5,2,4,8,10,7,4,1,5,6,2,5,1,1,5,11,0,5,0,1,2,1,3,2,0,1,1,1,2,1,1,0,0,0,1,0,1,1,0,1,1,0
S01006513,Aberdeen City,319,,0,0,3,5,3,0,6,4,6,6,3,0,4,2,2,10,3,5,5,4,0,5,2,0,1,0,3,4,1,3,5,3,1,2,5,4,4,8,5,4,3,3,4,0,2,1,1,4,6,2,3,10,6,6,5,5,2,7,3,5,5,3,4,2,9,2,2,3,4,3,0,4,7,4,2,4,2,3,2,1,6,4,4,0,5,3,1,7,3,1,10
S01006514,Aberdeen City,538,,5,3,4,5,0,4,6,8,9,8,1,9,10,19,8,13,8,10,13,7,10,8,8,10,12,7,4,8,6,7,0,3,9,8,1,8,7,6,5,5,5,0,4,8,6,13,6,15,9,4,7,8,12,7,12,10,9,6,8,6,7,6,8,3,3,2,5,1,6,4,3,5,3,9,5,2,2,1,4,2,2,2,1,3,1,2,0,0,3,1,5
S01006515,Aberdeen City,387,,1,3,3,3,9,7,3,8,4,3,4,8,9,4,8,7,10,6,8,2,4,2,1,3,4,4,6,4,6,0,3,2,1,3,2,6,0,4,3,8,6,2,0,7,5,7,6,9,10,7,10,9,5,7,3,9,6,4,5,4,7,8,8,4,6,6,8,1,3,3,7,2,3,3,1,2,2,2,1,4,4,1,1,0,0,0,0,1,0,1,1
S01006516,Aberdeen City,307,,1,3,1,5,3,1,4,4,0,2,3,5,4,3,4,9,6,8,4,9,6,4,9,4,5,9,2,2,5,2,4,0,1,4,7,2,4,0,9,0,1,6,0,8,3,5,2,7,2,4,7,9,5,4,3,1,1,3,6,6,3,2,3,4,4,1,5,1,5,8,3,1,1,1,3,2,0,0,6,4,1,2,0,1,2,2,0,0,0,0,1
S01006517,Aberdeen City,515,,2,5,3,0,5,5,1,6,7,9,12,6,14,8,5,17,6,10,5,2,2,7,10,7,3,5,6,5,6,4,5,7,2,3,2,4,6,1,5,3,3,10,7,6,3,5,3,11,12,7,2,5,6,16,15,9,12,5,6,10,13,6,4,11,13,9,7,8,9,4,8,5,3,7,5,2,2,2,3,2,2,2,1,0,1,2,0,3,1,2,4
S01006518,Aberdeen City,321,,2,3,1,4,3,5,4,6,6,1,4,7,7,4,5,4,1,6,6,0,1,3,3,4,1,2,1,3,0,1,0,2,2,0,8,8,1,1,5,0,4,3,1,3,5,1,4,3,6,6,4,4,7,7,9,9,2,9,4,7,7,4,8,4,9,7,6,3,2,3,2,3,4,4,4,4,4,3,2,3,1,1,4,1,0,1,2,1,0,1,0
S01006519,Aberdeen City,478,,1,4,2,7,13,5,7,13,11,7,10,14,11,7,11,11,13,10,4,2,7,3,1,6,3,2,10,5,3,0,4,5,0,1,2,1,1,1,2,5,4,10,10,4,2,9,3,5,10,17,7,7,5,6,13,7,7,10,7,1,9,9,7,7,7,6,5,1,3,9,3,3,5,5,6,2,5,2,3,1,1,1,1,0,1,2,3,0,0,1,1
S01006520,Aberdeen City,385,,1,6,4,4,7,3,11,8,7,17,6,12,6,3,5,5,8,6,7,4,2,6,1,3,5,3,6,6,3,3,6,2,3,0,2,5,1,1,2,2,6,8,3,14,7,7,10,8,6,5,5,9,11,5,6,8,9,8,4,4,7,3,4,3,4,1,2,4,1,3,0,4,0,3,1,4,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
