"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,FEMALES,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
SCOTLAND,,"2,729,600",,"29,488","28,294","29,190","29,061","27,807","27,372","26,912","26,373","25,846","25,804","26,930","27,206","28,397","29,033","29,934","29,584","30,055","31,165","33,036","36,620","37,513","36,386","36,450","37,038","36,098","35,492","35,491","34,274","35,002","35,698","35,146","34,479","33,073","31,212","30,232","32,242","32,892","33,168","35,265","38,065","39,755","39,275","40,695","41,588","41,478","41,500","42,830","42,788","42,389","41,054","40,323","38,809","38,896","37,861","36,731","35,637","34,292","33,842","33,239","32,154","32,717","32,585","33,718","34,827","37,988","28,758","27,718","28,097","27,702","25,723","24,164","24,691","24,184","23,655","23,009","22,244","21,406","20,067","19,046","18,993","17,802","16,639","15,284","13,764","12,725","11,956","10,446","9,487","8,188","7,441","26,117"
DataZone2011Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,,463,,10,8,7,7,6,4,7,2,4,3,2,5,1,1,5,2,3,3,4,4,3,9,3,3,7,6,11,7,6,10,13,8,7,7,2,8,6,7,10,7,4,8,9,6,4,5,9,7,10,6,11,6,7,10,8,5,2,5,3,5,5,3,6,6,7,3,5,8,5,4,1,3,4,3,4,3,3,1,6,5,2,2,2,4,3,1,3,0,0,1,2
S01006507,,438,,4,0,3,6,4,7,4,2,3,1,4,3,4,4,7,5,6,8,3,10,4,6,5,5,2,3,5,1,2,7,5,8,5,3,5,4,5,2,7,9,7,5,5,8,8,6,8,4,6,12,3,4,16,3,3,4,7,7,5,8,10,7,6,11,11,11,3,7,2,2,4,7,4,7,5,1,5,4,3,4,3,0,3,3,0,3,0,0,0,1,1
S01006508,,307,,2,3,4,3,2,3,1,4,0,3,2,2,2,1,2,3,3,1,2,2,0,4,4,12,4,5,6,6,6,2,10,6,8,1,11,3,4,2,6,10,3,3,4,6,3,8,5,4,9,7,7,4,5,4,4,3,5,4,7,5,3,3,3,6,3,5,1,1,2,2,1,0,1,1,2,1,0,1,5,0,1,1,2,1,1,0,1,1,1,1,1
S01006509,,300,,1,2,4,1,2,6,3,5,3,3,1,3,1,2,2,2,1,2,2,1,2,2,5,2,4,2,2,3,4,6,2,6,5,6,5,3,3,5,3,8,7,4,4,3,5,4,2,6,5,5,1,3,3,2,4,6,4,1,6,8,3,9,3,4,8,1,2,3,5,6,3,2,1,2,0,3,1,5,2,4,3,2,5,4,2,0,3,0,0,2,4
S01006510,,331,,2,3,2,3,5,1,1,2,1,2,5,2,7,3,4,1,2,3,9,7,5,1,0,0,4,1,2,3,3,0,8,3,2,0,1,3,3,4,5,4,3,3,3,7,4,6,4,6,9,6,2,10,5,8,1,7,4,3,2,3,5,2,2,1,0,2,6,4,10,4,4,4,5,6,5,0,3,1,4,4,2,3,3,1,3,3,6,3,6,3,13
S01006511,,380,,0,4,4,2,3,3,6,0,3,5,5,2,4,3,4,3,6,6,6,7,3,3,2,4,3,1,2,3,2,3,0,4,0,3,1,4,2,5,3,6,3,4,6,9,9,6,5,11,9,8,4,2,5,8,8,9,1,3,5,3,5,5,7,3,8,9,6,5,3,2,5,9,11,4,5,8,3,2,5,3,4,3,1,3,2,2,3,4,0,1,1
S01006512,,256,,2,2,4,6,6,1,6,6,4,7,8,5,4,10,2,5,6,3,3,0,1,0,3,0,1,0,0,0,0,1,2,1,1,7,5,2,2,6,0,6,5,9,4,5,6,11,6,2,3,5,6,2,5,3,3,3,2,4,4,3,3,1,2,2,3,2,3,3,1,0,1,0,1,2,2,2,1,2,0,2,1,1,1,0,0,1,0,0,0,0,0
S01006513,,349,,4,2,1,1,2,1,4,1,3,3,5,4,5,8,4,5,5,3,1,3,0,2,3,3,0,1,3,0,1,2,2,1,5,3,1,2,2,3,2,3,3,3,13,4,4,3,9,6,12,4,1,8,2,2,3,7,9,4,0,6,8,5,5,1,3,4,0,5,4,4,9,6,6,4,8,6,5,5,7,2,1,5,5,5,3,4,4,5,0,1,12
