"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
SCOTLAND,,"2,751,070",,"27,321","28,092","28,685","29,816","28,605","29,399","29,335","27,999","27,562","27,099","26,530","26,014","25,881","27,064","27,371","28,522","29,155","30,087","30,047","32,400","34,790","36,286","38,810","38,491","36,687","36,488","36,947","35,962","35,496","35,728","34,596","35,244","35,894","35,357","34,702","33,173","31,315","30,322","32,388","32,986","33,188","35,391","38,049","39,814","39,166","40,739","41,548","41,405","41,412","42,716","42,583","42,209","40,849","40,042","38,533","38,638","37,505","36,353","35,222","33,890","33,337","32,795","31,620","32,047","31,898","32,831","33,880","36,829","27,792","26,607","26,889","26,353","24,356","22,731","23,119","22,464","21,773","21,048","20,140","19,027","17,698","16,495","16,232","14,845","13,551","12,130","10,622","9,633","8,654","7,211","28,565"
DataZone2011Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,,479,,8,3,8,11,11,7,6,6,5,7,6,4,5,4,4,1,3,5,3,0,1,5,9,3,7,3,2,12,0,10,13,6,8,12,7,8,6,2,1,8,11,10,8,5,9,9,6,4,4,7,7,10,6,11,7,6,9,6,6,1,5,3,5,6,2,7,6,8,3,5,9,5,4,0,3,2,1,4,3,1,0,5,4,1,2,2,4,3,0,2,2
S01006507,,436,,6,4,4,6,1,8,7,6,9,2,3,2,2,5,1,3,4,7,4,3,3,5,8,6,5,0,4,1,4,1,0,3,4,7,10,6,4,10,6,5,1,7,4,4,3,5,8,8,5,10,5,7,12,3,4,15,4,3,4,6,7,5,7,10,7,6,11,10,11,2,8,2,2,4,6,3,6,5,0,5,5,3,3,3,0,3,2,0,1,0,2
S01006508,,337,,3,2,4,0,2,3,0,2,3,0,3,1,2,3,3,2,1,2,2,3,1,6,7,3,11,8,10,7,9,6,6,6,4,4,8,11,4,8,3,5,4,7,12,3,3,3,9,4,5,5,4,9,7,6,4,5,3,4,2,8,4,6,6,1,3,2,5,2,3,1,1,2,2,1,0,1,1,2,1,0,1,6,0,1,1,3,2,1,0,0,3
S01006509,,294,,5,2,6,1,3,4,2,2,6,2,5,3,2,2,3,0,2,3,0,0,1,1,0,6,3,8,1,5,1,3,0,5,6,1,5,9,7,4,4,3,5,3,7,7,3,3,4,4,6,1,5,5,6,1,4,3,2,4,6,5,1,6,8,2,9,2,4,8,0,2,2,3,5,3,1,2,2,0,2,1,4,1,1,1,1,2,4,1,0,3,3
S01006510,,362,,3,1,4,4,3,2,3,5,2,2,3,2,3,7,3,7,4,5,1,0,3,7,8,6,0,2,7,2,4,4,5,0,4,6,5,4,1,4,3,4,5,6,3,6,5,1,7,5,6,5,6,8,7,2,10,5,7,0,7,5,4,2,3,4,2,2,2,0,1,6,3,11,4,4,4,5,6,3,0,1,2,6,4,2,2,3,3,3,3,3,15
S01006511,,392,,4,2,2,1,3,5,2,5,3,6,0,4,5,5,3,5,4,5,2,3,5,5,8,6,4,1,3,3,0,4,2,2,5,3,4,1,7,1,5,3,4,2,8,4,4,6,11,7,5,5,8,8,9,4,2,4,8,8,9,1,3,6,3,7,5,5,3,8,9,5,5,3,2,5,7,12,5,4,6,2,2,3,5,4,2,2,2,3,2,2,2
S01006512,,267,,2,0,2,4,2,5,7,9,2,9,5,4,6,8,5,2,8,1,4,2,0,3,2,3,0,1,1,5,0,3,0,4,2,1,0,1,4,8,3,4,5,0,7,5,10,2,4,5,13,5,5,3,6,6,2,6,4,2,3,2,4,3,3,2,0,2,2,2,2,2,3,0,0,1,0,0,2,2,1,1,2,0,2,1,1,1,0,0,1,0,0
S01006513,,373,,2,3,2,4,3,0,2,2,1,3,1,3,3,5,6,6,8,4,3,4,1,0,3,1,5,2,1,0,2,3,2,4,3,2,1,5,4,2,0,3,3,3,3,3,4,10,3,3,2,8,6,10,4,2,7,3,4,3,7,9,4,1,5,6,4,4,2,4,4,0,6,4,7,7,5,6,5,8,7,6,6,8,3,1,8,1,9,3,6,3,24
