"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
SCOTLAND,,"2,762,531",,"27,236","27,543","28,286","28,838","29,987","28,696","29,517","29,452","28,133","27,664","27,181","26,648","26,072","25,940","27,142","27,457","28,597","29,278","30,535","32,349","33,917","35,729","36,999","39,180","38,684","37,064","36,851","37,156","36,203","35,819","35,985","34,788","35,445","36,123","35,559","34,827","33,371","31,469","30,486","32,519","33,069","33,203","35,427","38,100","39,866","39,186","40,757","41,536","41,359","41,415","42,710","42,507","42,096","40,748","40,010","38,491","38,544","37,401","36,225","35,088","33,757","33,157","32,625","31,416","31,796","31,652","32,522","33,509","36,395","27,390","26,145","26,437","25,808","23,817","22,197","22,467","21,828","21,054","20,223","19,294","18,099","16,862","15,520","15,113","13,727","12,409","10,990","9,497","8,466","7,524","28,372"
DataZone2011Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01006506,,483,,5,7,4,7,11,10,7,7,4,5,7,6,4,5,3,4,2,3,4,1,0,3,6,10,3,11,4,7,10,0,9,13,8,7,12,6,9,7,4,1,6,9,9,9,6,7,11,4,5,4,7,7,8,6,11,7,6,10,6,5,1,5,3,4,6,1,7,6,8,3,5,9,5,3,0,3,2,1,4,3,1,0,5,4,1,2,2,4,2,0,4
S01006507,,429,,4,6,3,5,7,2,3,6,5,10,1,3,1,2,5,1,4,4,7,4,4,2,6,10,6,7,2,3,0,4,2,0,1,5,5,12,5,5,11,6,6,0,5,3,5,3,5,7,7,5,11,5,7,12,3,4,14,4,3,4,6,7,5,6,10,7,6,11,9,11,2,8,1,2,4,6,3,5,6,0,4,4,3,3,2,0,3,2,0,0,1
S01006508,,325,,1,3,3,4,0,0,2,0,2,3,0,4,2,2,2,3,1,1,2,3,4,1,9,10,3,8,6,10,10,10,6,7,4,2,4,7,10,4,8,2,5,4,6,11,2,4,3,9,3,6,5,2,9,6,6,4,5,2,3,2,8,3,6,5,1,3,2,5,2,3,1,0,0,3,1,0,1,1,2,1,0,1,6,0,1,1,3,2,0,0,3
S01006509,,289,,3,4,3,6,1,2,5,3,4,7,3,5,2,4,2,3,0,2,2,0,0,2,1,0,6,2,7,1,2,0,2,2,7,6,0,4,9,3,5,4,4,7,4,7,4,3,3,4,4,5,1,5,5,6,1,4,3,2,4,5,5,1,6,8,1,10,3,4,6,0,2,1,3,5,2,2,2,2,0,2,1,3,1,1,1,1,2,3,1,0,5
S01006510,,364,,2,2,2,4,3,4,2,3,7,2,3,3,2,2,7,3,7,4,4,1,1,3,7,8,7,1,2,7,3,3,6,5,0,5,7,4,3,1,5,3,4,4,7,3,5,5,1,7,5,6,5,7,8,6,2,10,3,7,0,6,5,4,2,3,4,2,2,2,0,2,6,4,10,4,4,3,5,5,2,0,1,3,5,4,2,3,2,3,3,4,16
S01006511,,388,,2,5,3,2,2,3,5,1,5,3,6,0,4,5,5,3,5,4,5,2,1,5,5,6,5,5,2,3,5,0,4,0,1,6,3,5,3,8,2,6,4,4,1,9,4,4,5,11,7,5,5,9,8,9,4,1,4,8,9,7,1,3,6,3,6,5,5,3,8,9,5,4,3,4,5,7,12,5,3,6,2,1,1,5,3,1,2,1,3,0,3
S01006512,,259,,1,1,0,1,3,2,5,6,7,2,8,5,4,6,9,5,3,7,0,3,2,2,2,0,4,0,1,1,4,0,3,1,4,1,2,0,1,4,8,3,2,6,0,6,5,10,3,4,5,13,6,5,3,6,6,2,6,4,2,4,2,3,3,3,2,0,2,2,2,2,2,3,0,0,1,0,0,2,2,1,1,2,0,2,1,1,0,0,0,1,0
S01006513,,381,,1,3,3,2,4,3,0,2,3,2,3,3,3,3,5,5,6,8,2,2,3,0,0,3,1,2,2,1,0,2,4,2,4,3,2,1,6,5,2,0,3,3,3,3,3,3,11,3,4,2,8,6,9,4,2,9,3,4,3,7,9,4,2,6,6,3,2,2,6,4,2,8,4,7,7,5,7,5,8,7,6,6,8,3,3,5,1,10,6,5,25
